,0
0,"https://www.google.com/search?q=Agilent Technologies, Inc.&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
1,"https://www.google.com/search?q=American Airlines Group, Inc.&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
2,"https://www.google.com/search?q=Advance Auto Parts Inc&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
3,"https://www.google.com/search?q=Apple Inc.&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
4,"https://www.google.com/search?q=AbbVie Inc.&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
5,"https://www.google.com/search?q=AmerisourceBergen Corporation (Holding Co)&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
6,"https://www.google.com/search?q=Abbott Laboratories&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
7,"https://www.google.com/search?q=Accenture plc&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
8,"https://www.google.com/search?q=Adobe Inc.&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
9,"https://www.google.com/search?q=Analog Devices, Inc.&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
10,"https://www.google.com/search?q=Archer-Daniels-Midland Company&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
11,"https://www.google.com/search?q=Automatic Data Processing, Inc.&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
12,"https://www.google.com/search?q=Alliance Data Systems Corporation&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
13,"https://www.google.com/search?q=Autodesk, Inc.&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
14,"https://www.google.com/search?q=Ameren Corporation&tbs=cdr:1,cd_min:2/8/2013,cd_max:2/8/2013&tbm=nws"
15,"https://www.google.com/search?q=Agilent Technologies, Inc.&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
16,"https://www.google.com/search?q=American Airlines Group, Inc.&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
17,"https://www.google.com/search?q=Advance Auto Parts Inc&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
18,"https://www.google.com/search?q=Apple Inc.&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
19,"https://www.google.com/search?q=AbbVie Inc.&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
20,"https://www.google.com/search?q=AmerisourceBergen Corporation (Holding Co)&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
21,"https://www.google.com/search?q=Abbott Laboratories&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
22,"https://www.google.com/search?q=Accenture plc&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
23,"https://www.google.com/search?q=Adobe Inc.&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
24,"https://www.google.com/search?q=Analog Devices, Inc.&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
25,"https://www.google.com/search?q=Archer-Daniels-Midland Company&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
26,"https://www.google.com/search?q=Automatic Data Processing, Inc.&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
27,"https://www.google.com/search?q=Alliance Data Systems Corporation&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
28,"https://www.google.com/search?q=Autodesk, Inc.&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
29,"https://www.google.com/search?q=Ameren Corporation&tbs=cdr:1,cd_min:2/11/2013,cd_max:2/11/2013&tbm=nws"
